"gene","DESeq2_log2FC","DESeq2_padj","edgeR_logFC","edgeR_FDR"
"ENSG00000260823.1",8.95537924436752,1.83911398196968e-13,4.68281101758787,0.00017742852114539
"ENSG00000238025.1",8.16573428319529,3.07178492493394e-11,3.86401273597571,1.58517298023466e-07
"ENSG00000280270.1",7.12893966487343,6.34106124412186e-06,3.26441245723985,0.00273808088414512
"ENSG00000238015.2",6.91509193807586,2.3620705763482e-09,4.57872260616676,4.70312237481792e-09
"ENSG00000169715.14",6.48024160295165,2.97996049642765e-12,6.12760785715928,0.000100919483711694
"ENSG00000204010.3",6.00991605232415,2.5983850682478e-06,1.45665370930849,0.0177537149133023
"ENSG00000223387.6",5.53386158109984,2.79744628522625e-05,4.77320597819825,2.10944291157827e-07
"ENSG00000233975.1",5.25869960207157,6.96100819916469e-09,2.31496795677943,4.18917368739655e-05
"ENSG00000283972.1",5.20413203002154,4.09487525930928e-10,4.48711401453158,1.0686351585813e-10
"ENSG00000137959.15",5.1457856362721,1.67292223281339e-169,5.13592549043515,7.05637688875456e-20
"ENSG00000108691.9",5.13768649936636,1.04751253057982e-07,4.45553357388939,7.36538454469787e-10
"ENSG00000115155.16",5.09022209468023,5.98563389038262e-13,4.11714932413988,2.63443252288484e-05
"ENSG00000169245.5",5.01396741697016,2.70360970025144e-06,3.90726453586602,3.99681809630598e-08
"ENSG00000162840.4",4.64065768413314,3.38931206076535e-15,4.47334948373732,6.84085401793981e-07
"ENSG00000149131.15",4.56555839948577,0.000270900375416236,3.93305575213699,1.23518799893043e-11
"ENSG00000119917.13",4.51769714780526,2.27856883770272e-105,4.48143868272302,1.81290759675239e-17
"ENSG00000078081.7",4.47144393494525,3.08338808961172e-45,4.46481388742951,2.35455260269243e-15
"ENSG00000134321.11",4.39636766656347,8.32736920060538e-54,4.40896325685291,1.05944997988623e-12
"ENSG00000185745.9",4.39530860177391,1.27020087486099e-112,4.40388366190863,5.73549727920529e-18
"ENSG00000205837.7",4.332219111392,1.38574286955494e-11,4.00249760021104,3.68511915218901e-09
"ENSG00000184979.9",4.23784810355544,1.44562547932888e-13,4.21474517156022,1.06508439479211e-08
"ENSG00000161133.16",4.21643062760001,6.5784865552321e-16,4.10764870284657,8.94700885610464e-11
"ENSG00000260549.1",4.19107869171981,0.00108678281899657,2.30612570756251,0.0134441070201687
"ENSG00000134326.11",4.15438416372442,2.4873534590457e-108,4.14719776534749,1.24895966583504e-17
"ENSG00000225964.5",4.11046081687482,9.85393017182766e-58,4.02696561335275,2.0150035774323e-14
"ENSG00000137965.10",3.97737451679247,8.90121515602101e-73,3.97162988272533,3.74788459022725e-15
"ENSG00000278044.1",3.94311319591924,1.22579352775186e-05,3.57932694784363,1.46858059895178e-08
"ENSG00000226004.1",3.94072194322817,0.000283393811383895,3.22278165368331,5.12879559197848e-06
"ENSG00000135114.12",3.89775525696557,2.12706131580893e-124,3.85215531585895,1.12529346686027e-18
"ENSG00000165949.12",3.88045098551367,3.9751456867628e-10,3.79852068286457,1.15967733650856e-08
"ENSG00000187608.8",3.75799354920651,5.1301179267037e-43,3.76018440737168,1.23518799893043e-11
"ENSG00000126709.14",3.66601524939543,1.08876223014551e-92,3.65974776200321,3.27558741615289e-17
"ENSG00000111331.12",3.65798463561539,4.15485006025838e-49,3.65299017050453,8.51213755741725e-13
"ENSG00000224969.1",3.64529329158807,0.00477393393940271,1.63368207204627,0.0201007820991493
"ENSG00000230191.1",3.60463317171394,0.00100970961333166,3.34911418768227,3.99681809630598e-08
"ENSG00000088827.12",3.59793250312565,2.21331523315733e-07,4.45384916536926,4.56947356803684e-07
"ENSG00000157601.13",3.58499489348008,2.44403604554089e-74,3.58058383542545,7.14686860575536e-16
"ENSG00000228318.3",3.51881486952136,9.83312133652641e-75,3.52244583719122,1.18550990109778e-15
"ENSG00000167858.12",3.51367872736381,0.0122872612406083,1.66086325526957,0.0284225053637792
"ENSG00000133101.9",3.46905959222297,0.0039371406666973,2.07608114567367,8.96088765047661e-05
"ENSG00000257452.1",3.43907572750686,5.85615037644332e-36,3.42037197085233,6.51367440606583e-11
"ENSG00000225886.3",3.38460345670315,2.97836202912918e-53,3.47465566278449,7.00713925904529e-14
"ENSG00000089127.12",3.36317849571081,1.39335195442329e-27,3.35889423337823,6.38333880757814e-10
"ENSG00000224666.3",3.33343562417002,0.00662093658567374,2.48740891223362,0.000563332792946245
"ENSG00000226751.2",3.32827904100195,0.0163078394214706,1.87231244519011,0.00248894733003526
"ENSG00000254287.1",3.2453654444841,0.015666513305451,2.99904351950587,2.94553430169791e-05
