"Rank","Ensembl_ID","DESeq2_log2FC","edgeR_logFC","DESeq2_padj","edgeR_FDR","mean_padj"
1,"ENSG00000137959.15",5.146,5.136,1.67292223281339e-169,7.05637688875456e-20,3.52818844437728e-20
2,"ENSG00000185507.19",2.374,2.362,2.76199442845881e-129,7.05637688875456e-20,3.52818844437728e-20
3,"ENSG00000135114.12",3.898,3.852,2.12706131580893e-124,1.12529346686027e-18,5.62646733430136e-19
4,"ENSG00000138496.16",2.142,2.128,1.27020087486099e-112,1.12529346686027e-18,5.62646733430136e-19
5,"ENSG00000185745.9",4.395,4.404,1.27020087486099e-112,5.73549727920529e-18,2.86774863960264e-18
6,"ENSG00000134326.11",4.154,4.147,2.4873534590457e-108,1.24895966583504e-17,6.24479832917519e-18
7,"ENSG00000119917.13",4.518,4.481,2.27856883770272e-105,1.81290759675239e-17,9.06453798376196e-18
8,"ENSG00000183486.12",1.994,1.982,3.41040391114886e-84,3.05773771694389e-17,1.52886885847194e-17
9,"ENSG00000126709.14",3.666,3.66,1.08876223014551e-92,3.27558741615289e-17,1.63779370807645e-17
10,"ENSG00000055332.16",2.32,2.306,1.37158190916441e-77,5.66927457814172e-17,2.83463728907086e-17
11,"ENSG00000130589.16",2.078,2.068,5.52385554425976e-66,5.54002364648363e-16,2.77001182324181e-16
12,"ENSG00000132530.16",2.974,2.963,8.34543550667023e-71,5.7811104726064e-16,2.8905552363032e-16
13,"ENSG00000213928.8",1.291,1.278,5.15972895839787e-70,6.93350157380494e-16,3.46675078690247e-16
14,"ENSG00000157601.13",3.585,3.581,2.44403604554089e-74,7.14686860575536e-16,3.57343430287768e-16
15,"ENSG00000279296.1",2.982,2.972,6.91491424388314e-70,7.14686860575536e-16,3.57343430287768e-16
16,"ENSG00000228318.3",3.519,3.522,9.83312133652641e-75,1.18550990109778e-15,5.92754950548892e-16
17,"ENSG00000078081.7",4.471,4.465,3.08338808961172e-45,2.35455260269243e-15,1.17727630134621e-15
18,"ENSG00000137965.10",3.977,3.972,8.90121515602101e-73,3.74788459022725e-15,1.87394229511362e-15
19,"ENSG00000225964.5",4.11,4.027,9.85393017182766e-58,2.0150035774323e-14,1.00750178871615e-14
20,"ENSG00000259529.1",1.082,1.07,4.09822400332813e-53,3.57197732987083e-14,1.78598866493541e-14
21,"ENSG00000225886.3",3.385,3.475,2.97836202912918e-53,7.00713925904529e-14,3.50356962952264e-14
22,"ENSG00000188313.12",1.983,1.971,8.45378125808684e-47,7.9363457572142e-14,3.9681728786071e-14
23,"ENSG00000177409.11",2.285,2.272,6.74759748098141e-46,1.26104181854444e-13,6.30520909272219e-14
24,"ENSG00000266728.5",1.254,1.247,9.2842367673592e-39,4.45094169585845e-13,2.22547084792923e-13
25,"ENSG00000177989.13",2.001,1.98,2.10530317609775e-42,7.31009304666194e-13,3.65504652333097e-13
26,"ENSG00000181381.13",1.725,1.714,5.34824724006956e-37,7.76415545007805e-13,3.88207772503902e-13
27,"ENSG00000111331.12",3.658,3.653,4.15485006025838e-49,8.51213755741725e-13,4.25606877870862e-13
28,"ENSG00000134321.11",4.396,4.409,8.32736920060538e-54,1.05944997988623e-12,5.29724989943117e-13
29,"ENSG00000168961.16",1.553,1.547,1.39140720291242e-36,1.32876771109683e-12,6.64383855548417e-13
30,"ENSG00000196684.12",1.364,1.352,3.97180070677862e-37,1.60787073624276e-12,8.03935368121381e-13
31,"ENSG00000160710.15",1.112,1.098,3.52068815573901e-32,8.67546950401617e-12,4.33773475200808e-12
32,"ENSG00000138642.14",2.588,2.576,1.79594240932202e-36,1.16810932788955e-11,5.84054663944775e-12
33,"ENSG00000187608.8",3.758,3.76,5.1301179267037e-43,1.23518799893043e-11,6.17593999465216e-12
34,"ENSG00000163840.9",1.46,1.446,3.33813969492559e-31,1.62356572084019e-11,8.11782860420095e-12
35,"ENSG00000130489.14",1.584,1.568,6.12859066743661e-31,2.37001117240144e-11,1.18500558620072e-11
36,"ENSG00000117228.9",2.085,2.073,7.37266353224763e-32,3.22347608726446e-11,1.61173804363223e-11
37,"ENSG00000116663.10",1.647,1.631,3.79262859225914e-29,4.55779199880233e-11,2.27889599940117e-11
38,"ENSG00000135899.17",1.05,1.037,3.82050709884627e-27,4.94456893846552e-11,2.47228446923276e-11
39,"ENSG00000257452.1",3.439,3.42,5.85615037644332e-36,6.51367440606583e-11,3.25683720303292e-11
40,"ENSG00000272821.1",1.551,1.536,1.74405291902879e-28,6.94530089104095e-11,3.47265044552048e-11
41,"ENSG00000284194.1",1.625,1.606,1.74405291902879e-28,8.78431480963550e-11,4.39215740481775e-11
42,"ENSG00000161133.16",4.216,4.108,6.5784865552321e-16,8.94700885610464e-11,4.4735373204851e-11
43,"ENSG00000068079.7",2.033,2.028,1.74405291902879e-28,1.0686351585813e-10,5.34317579290651e-11
44,"ENSG00000124256.14",1.968,1.959,6.48628211930607e-27,2.69190796921731e-10,1.34595398460865e-10
45,"ENSG00000156587.15",1.652,1.641,3.83383184501102e-24,3.98589032303439e-10,1.99294516151722e-10
46,"ENSG00000283972.1",5.204,4.487,4.09487525930928e-10,1.0686351585813e-10,2.58175520894529e-10
47,"ENSG00000100918.12",1.166,1.155,1.00605681709831e-22,5.9751806679328e-10,2.9875903339669e-10
48,"ENSG00000089127.12",3.363,3.359,1.39335195442329e-27,6.38333880757814e-10,3.19166940378907e-10
49,"ENSG00000119922.9",2.886,2.881,8.66157395322646e-28,6.38333880757814e-10,3.19166940378907e-10
50,"ENSG00000138646.8",3.154,3.155,1.75237630200762e-30,6.38333880757814e-10,3.19166940378907e-10
51,"ENSG00000170581.13",1.758,1.75,4.14554214543369e-23,7.22098589052523e-10,3.61049294526282e-10
52,"ENSG00000137628.16",2.55,2.542,6.13882600018943e-26,9.05757295231504e-10,4.52878647615752e-10
53,"ENSG00000133106.14",2.857,2.848,4.50968571013205e-24,9.7512145341503e-10,4.87560726707517e-10
54,"ENSG00000282851.1",1.615,1.603,1.29402339507774e-21,1.04105761855056e-09,5.20528809275926e-10
55,"ENSG00000205837.7",4.332,4.002,1.38574286955494e-11,3.68511915218901e-09,1.84948829044228e-09
56,"ENSG00000130487.5",1.509,1.489,6.07969495170094e-21,3.76504430140296e-09,1.88252215070452e-09
57,"ENSG00000100911.15",1.05,1.038,9.81128617175294e-19,3.84489059595281e-09,1.92244529846697e-09
58,"ENSG00000205413.7",1.718,1.704,1.25037248188851e-20,4.13400085439826e-09,2.06700042720538e-09
59,"ENSG00000172183.14",1.704,1.688,2.40232496806433e-21,4.21785972549194e-09,2.10892986274717e-09
