"Database","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"KEGG","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","18/93","143/6721",0.125874125874126,9.09677419354839,11.5922562491589,5.09362094010929e-13,1.78786094997836e-10,1.78786094997836e-10,"23586/4600/5610/3665/4939/64135/4599/6772/3627/4938/8743/91543/6347/103/6773/5371/10379/4940",18
"KEGG","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","16/93","126/6721",0.126984126984127,9.17699266086363,10.9750458058618,1.00395326446495e-11,1.76193797913599e-09,1.76193797913599e-09,"3434/23586/4600/5610/3665/4939/1026/4599/6772/3627/4938/91543/6773/10379/439996/4940",16
"KEGG","Human Diseases","Infectious disease: viral","hsa05162","Measles","13/93","119/6721",0.109243697478992,7.89491280383121,8.98875120316259,6.83581873361954e-09,6.89385269925519e-07,6.89385269925519e-07,"23586/4600/5610/3665/4939/64135/4599/6772/4938/103/6773/10379/4940",13
"KEGG","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","16/93","196/6721",0.0816326530612245,5.89949528198376,8.24563264419645,7.85624239231361e-09,6.89385269925519e-07,6.89385269925519e-07,"719/23586/4600/5610/4939/64135/4599/6772/3627/4938/6347/103/6773/10379/9636/4940",16
"KEGG","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","13/93","156/6721",0.0833333333333333,6.02240143369176,7.51780778028874,1.79746679369781e-07,1.22142215705334e-05,1.22142215705334e-05,"115361/3665/4939/115362/2633/6772/4938/6347/6773/9447/10379/3428/4940",13
"KEGG","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","13/93","158/6721",0.0822784810126582,5.94616850415135,7.45214179719423,2.08790112316811e-07,1.22142215705334e-05,1.22142215705334e-05,"23586/5610/3665/4939/64135/684/6772/4938/6347/6773/5371/10379/4940",13
"KEGG","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","13/93","186/6721",0.0698924731182796,5.05104636374147,6.63644883923188,1.37328793034234e-06,6.8860580507166e-05,6.8860580507166e-05,"23586/5610/3665/4939/1026/6772/3627/4938/8900/6773/10379/9636/4940",13
"KEGG","Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","8/93","66/6721",0.121212121212121,8.75985663082437,7.50389064179245,2.95102465655644e-06,0.000129476206806414,0.000129476206806414,"23586/11277/3665/3627/81030/103/9447/3428",8
"KEGG","Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","7/93","54/6721",0.12962962962963,9.36818000796496,7.31303289618268,8.06698132991101e-06,0.00031461227186653,0.00031461227186653,"23586/3665/64135/3627/103/9636/79132",7
"KEGG","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","10/93","187/6721",0.053475935828877,3.86464263124605,4.70583342207962,0.000238009196531055,0.00835412279824003,0.00835412279824003,"8339/8349/5610/3665/1026/8347/440689/8900/3017/10379",10
"KEGG","Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","6/93","67/6721",0.0895522388059701,6.47183437650457,5.33167670697984,0.000302064920005373,0.00963861699289873,0.00963861699289873,"4600/684/4599/9582/200315/85363",6
"KEGG","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","12/93","278/6721",0.0431654676258993,3.11951728939429,4.2751381831656,0.000410915901040793,0.0120192901054432,0.0120192901054432,"4600/5610/1026/4599/6772/1277/8638/8900/6773/57801/10379/9636",12
