"Database","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"KEGG","hsa04978","Mineral absorption",59,0.820002953854772,1.79762658582031,3.58254383075325e-05,0.0125747288459439,0.0125747288459439,1070,"tags=27%, list=4%, signal=26%","23439/4499/4496/4489/4490/4495/6523/4501/4493/4502/9843/645745/6543/7779/4494/261729",0.557332238758646
"KEGG","hsa03015","mRNA surveillance pathway",97,0.72433535355532,1.72064301899466,0.000324899681461113,0.0570198940964253,0.0570198940964253,976,"tags=5%, list=3%, signal=5%","132430/4440/5522/728343/5521",0.49849310876659
"KEGG","hsa04657","IL-17 signaling pathway",89,0.643481987221366,1.51115611576302,0.00918773105903371,0.611638001518082,0.611638001518082,2470,"tags=17%, list=9%, signal=15%","4586/338324/1440/6354/6347/112744/3627/64806/3934/1437/3567/3565/5596/7124/3458",0.380730400722792
"KEGG","hsa00630","Glyoxylate and dicarboxylate metabolism",31,0.74442189940621,1.49805788803223,0.0485343936255094,0.811217722026371,0.811217722026371,89,"tags=3%, list=0%, signal=3%","112817",0.321775918075361
"KEGG","hsa04217","Necroptosis",155,0.568685104035329,1.4927625603405,0.0104553504533006,0.611638001518082,0.611638001518082,4102,"tags=22%, list=14%, signal=19%","255189/90865/115482686/5610/6772/81030/816/6773/3447/8743/3013/10379/7124/51510/105371242/3012/8336/8329/7098/8335/3458/317772/10616/6775/730262/8605/3440/824/3445/3439/3717/8334/834/55072",0.380730400722792
"KEGG","hsa00513","Various types of N-glycan biosynthesis",44,-0.828746565605429,-1.47683731301359,0.00439925906142183,0.514713310186354,0.514713310186354,1368,"tags=7%, list=5%, signal=7%","64377/83539/25834",0.407017918923954
"KEGG","hsa04977","Vitamin digestion and absorption",26,-0.847149229085201,-1.45909395410247,0.0253845055758354,0.727453084854185,0.727453084854185,100,"tags=8%, list=0%, signal=8%","337/2346",0.352487857583619
"KEGG","hsa04370","VEGF signaling pathway",60,0.653333480465836,1.45501049182999,0.0427237737286705,0.763869272513963,0.763869272513963,667,"tags=3%, list=2%, signal=3%","255189/5535",0.321775918075361
"KEGG","hsa04981","Folate transport and metabolism",27,-0.841102546111521,-1.43638809740611,0.0239857684019055,0.727453084854185,0.727453084854185,1379,"tags=15%, list=5%, signal=14%","635/23743/2346/9376",0.352487857583619
"KEGG","hsa00510","N-Glycan biosynthesis",56,-0.761636339654998,-1.42603381582192,0.0357143381957816,0.763869272513963,0.763869272513963,746,"tags=4%, list=3%, signal=3%","84620/25834",0.321775918075361
"KEGG","hsa05164","Influenza A",164,0.553928995736945,1.42505466691958,0.00934147406596802,0.611638001518082,0.611638001518082,2502,"tags=16%, list=9%, signal=15%","90865/7113/6347/3627/91543/4940/4599/4938/728343/4939/3665/5610/6772/4600/6773/23586/56649/64135/3447/8743/5371/10379/7124/7098/3458/103",0.380730400722792
"KEGG","hsa03320","PPAR signaling pathway",73,-0.752431400753779,-1.41288602455066,0.0190491112064938,0.727453084854185,0.727453084854185,1653,"tags=10%, list=6%, signal=9%","33/28965/6258/2169/2712/2173/2168",0.352487857583619
"KEGG","hsa04975","Fat digestion and absorption",39,-0.796277637794642,-1.40670633137293,0.0267163532746298,0.727453084854185,0.727453084854185,1213,"tags=13%, list=4%, signal=12%","80168/2169/2168/337/84647",0.352487857583619
"KEGG","hsa03018","RNA degradation",77,0.601383219572662,1.39519190875982,0.037356816666371,0.763869272513963,0.763869272513963,3603,"tags=8%, list=13%, signal=7%","132430/87178/5393/54464/645974/340529",0.321775918075361
"KEGG","hsa04915","Estrogen signaling pathway",130,-0.674985925797487,-1.36063588669047,0.0339976553341149,0.763869272513963,0.763869272513963,2356,"tags=11%, list=8%, signal=10%","107/4313/3866/112/8687/2911/3884/3763/3760/3880/51806/147183/7031/5241",0.266350657088526
"KEGG","hsa04919","Thyroid hormone signaling pathway",122,0.552170805900774,1.35986731241508,0.0269427068464513,0.727453084854185,0.727453084854185,1302,"tags=6%, list=5%, signal=6%","1735/53919/23439/2626/4625/6772/7068",0.352487857583619
"KEGG","hsa04062","Chemokine signaling pathway",189,0.513617812252667,1.34318427301556,0.0197094872788363,0.727453084854185,0.727453084854185,1532,"tags=9%, list=5%, signal=9%","6387/6346/6355/6358/6354/6347/9564/3627/2786/6357/6370/6373/6362/6368/6772/4283/6773",0.352487857583619
"KEGG","hsa04064","NF-kappa B signaling pathway",103,0.554801714293827,1.33029669414305,0.0434051036407869,0.763869272513963,0.763869272513963,2593,"tags=10%, list=9%, signal=9%","6387/3929/6357/7412/23586/10673/7124/8792/10912/959",0.321775918075361
"KEGG","hsa04519","Cadherin signaling",377,-0.604633899543435,-1.30213407361607,0.0255528800256312,0.727453084854185,0.727453084854185,1612,"tags=10%, list=6%, signal=10%","10186/8687/3791/3884/7477/56131/29119/117531/56144/2563/3888/64405/2569/7473/2566/2557/375612/2560/3880/1004/7082/1830/120114/28513/147183/56134/3890/9119/2555/1006/56143/56128/2559/3853/1009/56137/10083/2567/2195",0.352487857583619
"KEGG","hsa05012","Parkinson disease",265,-0.608678108444398,-1.27748900268691,0.032258064516129,0.763869272513963,0.763869272513963,725,"tags=2%, list=3%, signal=2%","7278/51806/221074/9627/1812/341947",0.261663521711573
"KEGG","hsa05160","Hepatitis C",150,0.499792924571187,1.2475429199671,0.0435253146731603,0.763869272513963,0.763869272513963,2545,"tags=19%, list=9%, signal=18%","23562/1365/439996/3627/91543/3434/4940/4599/5522/4938/5521/4939/3665/5610/6772/1950/4600/51208/6773/23586/3447/10379/7124/7098/137075/3458/1956/49861/1026",0.321775918075361
"Reactome","R-HSA-877300","Interferon gamma signaling",93,0.719888220388353,1.7593687558625,0.000371475559043768,0.128084772758291,0.128084772758291,3963,"tags=38%, list=14%, signal=33%","79097/4502/8638/4940/4938/4939/11074/7412/3665/117854/6772/2633/816/10346/115361/388646/5371/115362/85363/8651/10379/3458/10107/6672/2635/9830/2634/2209/7706/163351/6737/3663/53840/10475/3717",0.49849310876659
"Reactome","R-HSA-9943965","CHD3, CHD4, CHD5 subfamily",94,0.711253394000441,1.72277989387758,0.00106551720606348,0.178370690859668,0.178370690859668,3282,"tags=28%, list=11%, signal=25%","7026/3018/8968/85509/8368/8339/8366/8347/8354/8364/8343/8340/8970/3013/3017/8363/8359/3012/8335/8356/8349/653604/8357/8351/8348/333932",0.45505986738723
"Reactome","R-HSA-5660526","Response to metal ions",14,0.952353923093349,1.70441417268591,4.57847840249526e-05,0.0538914320805477,0.0538914320805477,1083,"tags=79%, list=4%, signal=76%","4499/4496/4489/4490/4495/4501/4493/4502/84560/4494/4504",0.557332238758646
"Reactome","R-HSA-9937850","NuRD complex assembly",90,0.713813851842899,1.68403984763916,0.00115581942082932,0.178370690859668,0.178370690859668,3282,"tags=29%, list=11%, signal=26%","7026/3018/8968/85509/8368/8339/8366/8347/8354/8364/8343/8340/8970/3013/3017/8363/8359/3012/8335/8356/8349/653604/8357/8351/8348/333932",0.45505986738723
"Reactome","R-HSA-5661231","Metallothioneins bind metals",11,0.96271434037077,1.67372645833274,6.25190627384544e-05,0.0538914320805477,0.0538914320805477,1083,"tags=100%, list=4%, signal=96%","4499/4496/4489/4490/4495/4501/4493/4502/84560/4494/4504",0.538434096309916
"Reactome","R-HSA-9940951","Interaction of NuRD complexes with transcription factors",85,0.706968994291916,1.6580186032282,0.00189067440383185,0.178370690859668,0.178370690859668,3282,"tags=29%, list=11%, signal=26%","7026/3018/8968/8368/8339/8366/8347/8354/8364/8343/8340/8970/3013/3017/8363/8359/3012/8335/8356/8349/653604/8357/8351/8348/333932",0.45505986738723
"Reactome","R-HSA-2299718","Condensation of Prophase Chromosomes",69,0.720204646799396,1.63072154634724,0.00307777947896884,0.212243672869691,0.212243672869691,3282,"tags=36%, list=11%, signal=32%","3018/8968/8290/8368/8339/8366/8347/8354/8364/8343/8340/8970/3013/3017/8363/8359/3012/8335/8356/8349/653604/8357/8351/8348/333932",0.431707695803346
"Reactome","R-HSA-5693565","Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks",77,0.702514949156833,1.61834639693138,0.00408823006830609,0.240978103416465,0.240978103416465,3192,"tags=22%, list=11%, signal=20%","2138/3018/8290/8368/8339/8366/8347/8364/8343/8340/8970/3017/8363/8359/8349/2139/8348",0.407017918923954
"Reactome","R-HSA-9909649","Regulation of PD-L1(CD274) transcription",95,0.670828046236177,1.60995915247785,0.00489757510720932,0.240978103416465,0.240978103416465,5775,"tags=47%, list=20%, signal=38%","3018/8968/8368/8339/8366/6772/8347/8354/8364/467/8343/8340/8970/3013/3017/8363/8359/10413/3012/8335/8356/51176/4613/8349/653604/8357/8351/8348/333932/7005/8346/8334/2034/3659/8338/6934/8367/85236/8365/554313/6932/8350/3091/8294/8353",0.407017918923954
"Reactome","R-HSA-5693606","DNA Double Strand Break Response",78,0.700156210392243,1.60899045663502,0.00898833386621423,0.242123243521146,0.242123243521146,3192,"tags=22%, list=11%, signal=19%","2138/3018/8290/8368/8339/8366/8347/8364/8343/8340/8970/3017/8363/8359/8349/2139/8348",0.380730400722792
"Reactome","R-HSA-9843970","Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex",66,0.703821214234911,1.60869428621196,0.00742900449960755,0.240978103416465,0.240978103416465,3282,"tags=36%, list=11%, signal=32%","3018/8968/8368/8339/8366/8347/8354/8364/8343/8340/8970/3013/3017/8363/8359/3012/8335/8356/8349/653604/8357/8351/8348/333932",0.407017918923954
"Reactome","R-HSA-5578749","Transcriptional regulation by small RNAs",72,0.691438778270161,1.60732142321993,0.00627369046327601,0.240978103416465,0.240978103416465,3282,"tags=33%, list=11%, signal=30%","3018/8968/8368/8339/8366/8347/8354/8364/8343/8340/8970/3013/3017/8363/8359/3012/8335/8356/8349/653604/8357/8351/8348/333932",0.407017918923954
"Reactome","R-HSA-201722","Formation of the beta-catenin:TCF transactivating complex",88,0.682700995887813,1.60464877993763,0.00344228308788475,0.228249847827435,0.228249847827435,3282,"tags=30%, list=11%, signal=26%","3018/8968/8290/8368/8339/8366/8347/8354/8364/8343/8340/8970/3013/3017/8363/8359/3012/8335/8356/51176/8349/653604/8357/8351/8348/333932",0.431707695803346
"Reactome","R-HSA-912446","Meiotic recombination",82,0.680303245864361,1.60368084694137,0.00670213761686559,0.240978103416465,0.240978103416465,3282,"tags=32%, list=11%, signal=28%","3018/8968/8290/8368/8339/8366/8347/8354/8364/8343/8340/8970/3013/3017/675/8363/8359/3012/8335/8356/8349/653604/8357/8351/8348/333932",0.407017918923954
"Reactome","R-HSA-9940465","ChAHP complex assembly",58,0.716424148969484,1.5991931051931,0.00868015980360071,0.240978103416465,0.240978103416465,3282,"tags=41%, list=11%, signal=37%","3018/8968/8368/8339/8366/8347/8354/8364/8343/8340/8970/3013/3017/8363/8359/3012/8335/8356/8349/653604/8357/8351/8348/333932",0.380730400722792
"Reactome","R-HSA-9845323","Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)",93,0.653749692666597,1.59772969032865,0.00554939053423843,0.240978103416465,0.240978103416465,3282,"tags=27%, list=11%, signal=24%","3018/8968/8368/8339/8366/8347/8354/8364/8343/8340/8970/3013/3017/8363/8359/3012/8335/29947/8356/8349/653604/8357/8351/8348/333932",0.407017918923954
"Reactome","R-HSA-9909505","Modulation of host responses by IFN-stimulated genes",17,0.846193327793056,1.59630095162412,0.0333669440988989,0.449411028332045,0.449411028332045,3440,"tags=53%, list=12%, signal=47%","10964/10561/9636/51191/23586/64135/9246/7706/7318",0.321775918075361
"Reactome","R-HSA-3214847","HATs acetylate histones",137,0.647338563873539,1.58716265925945,0.00115427630227825,0.178370690859668,0.178370690859668,3282,"tags=21%, list=11%, signal=19%","5077/3018/8968/8368/8339/8366/8347/8354/8364/8343/440689/8340/8970/3013/3017/8363/8359/3012/8336/8329/8335/8356/8349/653604/8357/8351/317772/8348/333932",0.45505986738723
"Reactome","R-HSA-73728","RNA Polymerase I Promoter Opening",58,0.709218625828453,1.58310902575075,0.0103406736240581,0.243934648717427,0.243934648717427,3282,"tags=41%, list=11%, signal=37%","3018/8968/8368/8339/8366/8347/8354/8364/8343/8340/8970/3013/3017/8363/8359/3012/8335/8356/8349/653604/8357/8351/8348/333932",0.380730400722792
